,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
33,Papa Roach,Elevate - Remastered 2020,5vi1VaZmV5CzibWGIcf9G4,32,0.65,0.814,2,-4.406,0,0.0923,0.0281,0.0,0.301,0.642,145.031,190000,4
34,Pop Smoke,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,85,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
35,The Glitch Mob,Fortune Days - 2020 Remaster,5GWHujc41JAjaiH6gcCjgu,27,0.604,0.624,1,-9.847,0,0.0744,0.44,0.773,0.0754,0.2,105.001,380815,4
36,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,86,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4
37,The Glitch Mob,Animus Vox - 2020 Remaster,3L1iZJUXiAcUvDhIIi3KAq,28,0.679,0.523,10,-10.727,0,0.0414,0.15,0.673,0.506,0.399,100.033,402085,4
38,Juice WRLD,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,83,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,4
39,Papa Roach,Periscope - Remastered 2020,3DFp3sRBA9iWzZqEPLq8gM,32,0.588,0.721,7,-6.356,0,0.0302,0.275,0.0,0.214,0.232,121.956,216771,4
40,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,86,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
41,David Gray,This Year's Love - 2020 Remaster,2raGOq0p2PXrWJnWXSBFaC,29,0.332,0.237,8,-7.775,1,0.0289,0.653,6.74e-05,0.112,0.207,165.405,245533,3
42,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,85,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4
43,Papa Roach,Burn - Remastered 2020,1LRQROTy2wN5VO3V0VPbUc,30,0.447,0.981,7,-2.955,1,0.116,2.22e-05,0.00107,0.0717,0.397,91.013,205747,4
44,Chris Young,Famous Friends,4iXDn9pu5Q9sxv45vE8Lak,78,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017,165569,4
45,Papa Roach,Face Everything and Rise - Remastered 2020,20JXjktPIqUV7bWr8nZkia,31,0.415,0.988,8,-2.095,1,0.0861,2.12e-05,0.0,0.283,0.38,139.926,191074,4
46,SoFaygo,Knock Knock,6aHoPULNO7pSL2ZfUY0bU8,81,0.669,0.629,1,-6.032,0,0.0657,0.0485,0.0,0.346,0.683,125.935,139729,4
47,Papa Roach,American Dreams - Remastered 2020,6HLk3upJqJAmVNdMbnxT8g,31,0.585,0.894,7,-5.136,1,0.0507,0.00117,0.0,0.128,0.353,108.954,203119,4
48,blackbear,hot girl bummer,2mt1IqcFyY1zmYZT8Q3xw9,83,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,188344,1
49,The Glitch Mob,Bad Wings - 2020 Remaster,6kM8GtByUt4KYN9MqGpCis,26,0.483,0.69,7,-7.505,0,0.0471,0.0143,0.858,0.278,0.267,129.918,398192,4
50,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,81,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,163798,4
51,Johann Strauss II,"An der schönen blauen Donau, Walzer, Op. 314",5431KRbZtVF3tVgMR1lIYS,36,0.207,0.0854,2,-19.104,1,0.042,0.976,0.923,0.0663,0.138,199.771,622227,3
52,BIA,WHOLE LOTTA MONEY,5yorXJWdBan1Vlh116ZtQ7,79,0.897,0.371,1,-5.019,1,0.368,0.0904,0.0,0.325,0.441,81.008,156005,4
53,Papa Roach,Still Swingin’ - Remastered 2020,1WeeMb71Hld9X5Bmq9IQup,30,0.568,0.897,1,-6.001,1,0.0579,8.29e-05,6.69e-05,0.119,0.645,139.004,203293,4
54,BTS,Dynamite,4saklk6nie3yiGePpBwUoc,90,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4
55,Greg Sletteland,2020 (Sexy Miami Tech House Party Crossfit Workout Hits DJ Club Remix),4vta0vIJM7y57KH3O1lE6l,23,0.726,0.858,7,-9.852,1,0.0462,0.00372,0.91,0.0807,0.353,126.981,234331,4
56,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,87,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4
57,Papa Roach,Kick In The Teeth - Remastered 2020,6hTXrvfe5fSIhAhMBznsau,29,0.341,0.988,2,-2.929,1,0.218,0.000118,5.94e-06,0.311,0.386,122.984,191453,4
58,Beach Bunny,Cloud 9,6vFsBXYczYsP0H3lgunZOm,82,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,147351,4
59,Papa Roach,Who Do You Trust? - Remastered 2020,7mal4BdvagTpiAh8TiDfyh,30,0.556,0.911,2,-4.006,1,0.0375,0.0221,7.35e-06,0.421,0.297,102.013,196480,4
60,Tory Lanez,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,81,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
61,Chilled Cat,Winter Night on New Years Eve,639pj50r7i2uFzZ4BJhk4y,26,0.709,0.261,8,-10.459,1,0.148,0.924,3.52e-05,0.15,0.558,134.425,158551,3
62,Lil Baby,On Me,4Iedi94TIaB2GGb1nMB68v,78,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4
63,Beyond West,2020: One Hell of a Year,2thSVtE8kWBNpja1qzVga3,19,0.277,0.438,7,-6.818,0,0.0409,0.528,0.0,0.0838,0.218,87.296,263030,1
64,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,88,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
65,Hammock,One Another - 2020,7opImrwNkmetyUJq3cGTfc,26,0.0901,0.313,2,-16.104,1,0.0443,0.829,0.979,0.198,0.0387,86.568,409815,5
66,Ritt Momney,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,82,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4
67,The Glitch Mob,Drive It Like You Stole It - 2020 Remaster,1h0LR3X6LD19canA3cHDCO,25,0.62,0.668,5,-9.337,0,0.0703,0.11,0.915,0.3,0.492,85.986,354464,4
68,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,85,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4
69,Jai Wolf,Indian Summer - 2020 Encore Mix,60SJ6qZIetPNm1Q2IRGgRr,22,0.316,0.53,6,-8.129,1,0.0308,0.00323,3.25e-05,0.0811,0.0323,170.075,260807,4
70,Bad Bunny,DÁKITI,47EiUVwUp4C9fGccaPuUCS,86,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4
71,No Spirit,It’s Been A Year,3YYni1jodOmekz697cuwhl,24,0.0,0.268,0,-12.754,1,0.0,0.601,0.821,0.0525,0.0,0.0,163077,0
72,The Glitch Mob,A Dream Within A Dream - 2020 Remaster,2DW7QEmiAiumhYAQURtLAq,24,0.599,0.736,5,-10.191,0,0.0573,0.0741,0.821,0.673,0.156,119.971,321610,4
73,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,83,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
